WORD,NUM_OCCURRENCE_IN_TRAIN
hay,768
potatoes,767
space,766
cream,766
staring,760
wild,758
commercial,758
run,750
work,750
foods,749
serving,748
cabinet,746
pose,745
spoon,741
breakfast,740
cement,735
which,734
trail,732
shorts,729
subway,728
backpack,727
stacked,725
show,725
reflection,724
painting,724
round,723
christmas,722
persons,720
lone,720
pool,715
mother,715
square,713
cooked,713
wire,712
same,708
toward,708
french,706
dessert,701
soup,699
cluttered,697
pillow,693
throw,692
seated,691
umpire,691
highway,690
games,689
swings,689
outdoors,689
docked,686
swimming,685
flag,682
sunglasses,681
rug,677
wedding,677
clocks,677
couches,676
blender,674
boarding,674
hotdog,672
adults,672
garden,669
assortment,669
stall,667
get,667
van,665
business,665
go,662
controllers,653
bun,648
among,646
drives,646
hillside,645
doors,644
team,641
foot,640
shelves,637
trash,636
restroom,636
rocky,636
flock,635
military,635
onions,635
ledge,634
eyes,633
desktop,633
kitten,633
wooded,630
low,630
ice,628
skies,627
stainless,626
facing,624
mid,624
stairs,623
jumps,623
lawn,622
eats,613
things,613
pointing,612
clouds,611
drawn,610
assorted,609
before,608
gate,608
desert,608
someones,606
see,606
cups,605
fish,604
race,603
closeup,601
eggs,600
ceiling,597
event,596
glove,593
steps,591
construction,586
coat,584
says,584
arms,579
turn,579
land,579
rackets,579
arranged,578
toddler,576
party,573
picnic,573
floors,572
snowboarding,572
broken,570
landing,569
curtain,569
lunch,567
closed,566
pond,566
monitors,566
overlooking,564
electronic,564
friends,563
pots,561
vegetable,559
new,558
kneeling,558
graze,558
does,557
cage,557
tied,557
boarder,554
tan,552
roof,551
bottom,551
narrow,550
pasta,548
messy,547
overhead,546
type,544
colors,542
kind,540
skating,538
himself,538
reads,537
machine,537
wide,537
fancy,534
rider,533
cakes,532
hold,531
sides,531
sale,531
trailer,528
appears,526
suits,525
gold,524
object,523
cloth,522
towels,520
ties,518
plain,518
sunset,516
veggies,515
transit,515
leather,515
bite,513
walkway,513
mans,513
features,511
was,510
foreground,510
ear,510
pants,508
shade,507
make,507
pastries,506
action,504
photos,504
loaded,504
net,503
rest,502
toilets,502
pie,501
carrot,501
urban,501
pepperoni,501
short,500
antique,500
sea,496
partially,495
commuter,494
clothing,493
ship,491
scooter,490
held,490
baked,489
toys,488
hole,488
device,488
still,487
doorway,486
beneath,485
palm,485
what,484
wrapped,484
fashioned,484
leash,483
lies,482
racing,481
pastry,480
signal,480
smoke,479
kinds,478
blurry,477
tour,477
gets,476
houses,474
chips,473
pedestrians,470
contains,469
harbor,469
decorative,469
giving,469
structure,468
fighter,466
tomato,466
grill,465
bow,464
pier,463
outfit,460
lettuce,460
petting,460
model,460
winter,460
used,457
island,456
peppers,454
garage,454
includes,453
part,452
rests,451
farm,450
streets,449
deck,449
railing,447
containers,446
leading,445
hard,444
opened,444
apartment,443
prepared,443
bunches,442
use,441
produce,439
vanity,439
steam,439
sheet,437
electric,437
sail,436
cap,435
beans,433
six,432
stack,431
tooth,431
hats,430
ripe,429
waits,429
cover,428
bacon,428
but,427
rural,427
papers,427
lift,426
makes,426
here,426
these,425
shopping,424
barn,423
residential,423
pans,422
mound,422
turned,421
tiny,421
smart,421
sheets,420
lid,420
nose,420
mug,419
heads,419
carpet,418
happy,418
writing,418
alongside,418
urinals,417
juice,416
pavement,416
i,415
doll,415
upside,414
brightly,414
patio,414
meters,413
snowboards,412
soda,411
frosting,410
tea,409
remotes,408
color,408
rainy,408
candle,407
touching,407
branches,407
riders,406
disc,405
milk,405
ducks,404
smaller,404
directions,404
personal,403
purse,403
flight,403
sort,402
laid,402
parade,402
sized,402
close-up,400
itself,399
ketchup,399
kicking,399
log,396
wetsuit,396
displaying,396
ladies,394
paddle,394
costume,393
dresser,392
loading,392
flags,392
wheel,392
do,392
lines,391
only,390
roll,390
smile,390
sill,389
officer,388
pick,388
mustard,388
noodles,387
waters,386
mushrooms,385
decorations,385
beige,385
enclosed,385
tent,385
bush,385
sausage,385
platter,384
trays,384
stuff,384
utensils,383
sliding,383
american,381
deep,381
uniforms,380
sailing,379
approaching,378
elderly,376
goes,375
terminal,375
pickup,375
throws,374
egg,373
course,373
fried,372
sweater,372
leans,372
ornate,372
uses,372
fun,371
pipe,371
collection,369
built,367
greens,366
vest,365
posted,364
hangs,364
gas,363
written,362
power,361
pulls,361
goats,360
attempting,360
propeller,360
tow,360
growing,360
beverage,360
bride,359
mitt,359
rolling,359
crosswalk,359
indoor,358
fake,358
runs,357
rear,357
shoe,356
stadium,355
passes,354
neatly,353
baskets,353
stick,352
rows,352
wind,352
jets,351
direction,351
supplies,350
relaxing,349
if,349
potted,349
curled,347
bending,347
roses,346
lamps,346
bull,346
curtains,346
toast,346
paint,346
shirtless,344
tank,343
rope,343
missing,343
roadway,342
leg,342
tops,342
locomotive,340
wires,340
block,340
siting,340
airliner,339
spectators,338
wheels,338
balls,337
art,337
aircraft,337
sticks,337
museum,336
glazed,335
falling,334
paved,334
packed,334
electronics,333
telephone,333
toothbrushes,333
sports,332
selfie,331
frame,331
how,331
performs,331
practicing,330
wagon,329
without,329
jeans,328
2,327
stunt,326
floral,326
piled,326
mirrors,325
we,324
tiles,324
guitar,324
good,323
chef,323
talks,323
sculpture,323
dead,322
thats,321
gather,321
motion,320
also,320
shallow,319
formation,319
landscape,318
garbage,318
tail,317
flown,317
pass,316
cupcakes,316
wait,316
homemade,315
hotdogs,315
shoulder,315
ingredients,315
eye,314
skateboarders,314
steep,313
toaster,313
covering,313
bank,313
selling,312
bucket,312
flip,312
semi,311
pedestrian,311
stream,311
opposite,311
freezer,311
surrounding,310
spread,310
workers,309
groom,309
images,309
jetliner,308
you,307
so,307
travels,307
fluffy,307
holder,307
tongue,306
put,306
sprinkles,306
cones,306
objects,306
pitching,305
fast,304
horseback,304
hits,304
downhill,302
snowboarders,302
fallen,301
headphones,300
asleep,300
icing,300
mixed,300
pushing,300
blankets,300
puppy,299
strawberries,299
chain,299
arrangement,299
competition,299
stuck,298
marble,297
counters,297
faces,296
pictured,296
visible,296
rolls,295
travel,295
neon,294
entrance,293
us,293
checkered,293
life,292
whole,291
speed,291
gathering,291
golden,291
drive,291
blonde,291
duck,290
slopes,290
climbing,290
shirts,290
urinal,289
habitat,289
handle,288
frosted,288
wears,288
item,288
cargo,288
womans,287
reaches,287
beard,287
pack,287
featuring,286
officers,285
string,284
patch,284
design,283
moves,283
stickers,283
range,282
london,281
shiny,281
pouring,281
skirt,280
name,280
delicious,280
carries,280
napkin,279
microphone,278
olives,278
feeder,277
covers,277
batting,275
first,275
basketball,275
interior,275
laughing,274
cookies,274
butter,273
blowing,273
great,273
haired,273
position,272
hills,271
ahead,271
desserts,270
onion,270
gravel,269
grilled,269
liquid,268
cleaning,268
beef,268
bare,268
checking,267
rainbow,267
miniature,267
far,267
corn,266
opening,266
mini,265
straw,265
fishing,265
cardboard,265
lighting,264
potato,264
ben,263
shape,263
controls,262
childs,261
jar,261
rusty,261
advertisement,261
turning,260
hang,260
mobile,259
fan,259
displays,258
bookshelf,258
tools,258
condiments,257
foil,257
plaid,257
tabby,257
newspaper,256
thin,256
fountain,256
muddy,256
bunk,256
hood,255
pickle,255
wing,255
herself,255
flooring,255
catches,255
ham,255
goat,255
located,255
seats,254
carts,254
travelling,253
rusted,253
clay,252
exhibit,251
unmade,251
hospital,249
gloves,249
bent,248
size,247
shadow,247
industrial,247
cafe,246
hallway,246
lane,246
sharing,245
either,245
attire,245
series,244
brushes,244
pancakes,244
steeple,243
thrown,243
forward,243
posed,243
comforter,243
trolley,243
grapes,242
meadow,242
pet,242
helping,242
aerial,242
words,241
st,241
library,241
league,240
paw,240
accessories,240
frisbees,240
freshly,239
double-decker,239
teams,239
blow,239
return,239
stoplight,239
backs,239
following,239
biting,238
stares,238
nicely,238
seems,237
multicolored,237
steak,237
stage,237
crust,236
sleeps,236
more,236
burger,235
ceramic,235
chasing,235
watering,235
dishwasher,235
statues,235
chefs,234
heading,234
countryside,234
wings,234
seagulls,234
almost,234
picking,233
chili,233
chinese,233
mostly,232
twin,232
paws,232
baking,232
matching,231
tasty,231
railway,231
coach,231
marina,230
hugging,230
bouquet,230
cycle,230
amongst,229
cowboy,229
designed,229
santa,229
balcony,229
multi,229
lay,229
system,228
gentleman,227
horns,227
iron,227
neighborhood,226
funny,226
mat,226
booth,225
advertising,225
calf,224
tunnel,224
foreign,224
alley,223
larger,223
dryer,222
sniffing,222
cuts,222
baggage,222
hamburger,222
collar,221
chopped,221
metallic,221
abandoned,220
trunks,220
prepare,220
sunlight,220
buffet,219
sugar,219
fans,219
bakery,219
tractor,219
typing,219
leaving,219
mask,219
hose,219
jumbo,218
seagull,218
lamb,217
heavy,217
chewing,216
story,216
calm,216
individual,215
resort,215
motorbike,215
father,215
sub,215
sets,214
poster,214
downtown,214
driveway,214
tries,213
folded,213
entertainment,213
audience,212
worker,212
rails,212
natural,212
dusk,212
cold,212
busses,212
framed,211
stool,211
washing,211
circular,211
kick,210
cases,210
candy,210
formal,210
bearded,209
boots,209
rose,209
neat,209
lighthouse,209
shining,208
organized,208
onlookers,208
devices,208
heart,208
bars,208
connected,208
helmets,207
motorcyclist,207
propped,207
cupcake,207
magnets,206
cupboards,206
t-shirt,206
chest,205
card,205
focus,205
mattress,204
cliff,204
sailboat,204
contents,204
dimly,204
section,203
weather,203
piano,202
tablet,202
lounging,202
evening,202
racquets,202
castle,202
bell,202
hiding,202
cook,201
decor,201
upon,201
besides,201
mud,201
tossing,201
storage,200
males,200
canopy,200
adorable,200
kitty,199
porch,199
dump,199
bay,199
bikers,198
ears,198
reflected,198
point,198
furry,198
grocery,197
apron,197
backyard,197
raised,197
parrot,196
progress,196
licking,196
owner,196
lemon,196
lambs,196
belt,195
thick,195
daytime,195
separate,195
silverware,195
fall,195
catchers,195
spinach,194
move,193
hardwood,193
scattered,193
skiis,193
wilderness,192
grazes,192
3,192
collage,191
warning,191
football,191
simple,190
straight,190
unique,190
crosses,190
golf,190
strip,189
lemons,189
shaking,189
driver,189
balancing,189
smoking,189
word,189
son,189
odd,189
jungle,188
ring,188
cookie,188
magazine,187
stretching,187
finger,187
logs,187
drivers,187
scarf,187
pony,186
saying,186
bikini,186
peeking,186
really,185
cabin,185
leafy,185
safety,185
tag,185
played,185
goggles,185
taxi,184
decoration,184
jersey,184
sizes,184
tourists,184
turkey,184
delivery,184
clutter,184
amount,184
lounge,184
countertop,184
spot,184
bats,184
drawers,183
numerous,183
circle,183
ladder,183
moped,182
freight,182
suspended,182
peeled,182
quiet,181
nuts,181
themselves,180
cigarette,180
screens,180
indoors,179
fixing,179
hung,178
tire,178
ribbon,178
students,177
pickles,177
farmers,177
pairs,177
break,177
fighting,177
enjoy,176
figure,176
courtyard,176
crane,176
towering,175
topping,175
classroom,175
muffin,175
pigeons,175
own,175
balloons,175
plaza,175
surfs,174
leaf,174
healthy,174
jockey,174
shoreline,174
cereal,174
motorcyclists,174
scooters,174
complete,174
spray,173
furnished,173
cellphones,173
shops,173
sticker,173
fabric,172
pine,172
closet,172
strange,172
beverages,171
foggy,171
feed,171
buns,171
rustic,171
tusks,171
snack,171
photographs,171
toothpaste,170
tin,170
vegetation,170
consisting,170
talk,170
monkey,170
panda,169
stops,169
skyline,169
obstacle,169
army,168
slightly,168
points,168
arrow,167
service,167
berries,167
comes,167
cop,167
softball,166
speakers,166
blond,166
oriental,166
arena,166
canoe,165
designs,165
port,165
meeting,165
den,165
puts,164
pedestal,164
observing,164
than,164
process,164
headed,164
sideways,163
cone,163
wading,163
positioned,163
nap,163
groups,163
wear,163
cushion,163
village,162
paddling,162
dispenser,162
bathing,162
approaches,162
slicing,162
pull,162
fixtures,162
crossed,162
shrimp,162
airlines,161
waterway,161
grabbing,160
beak,160
cans,160
load,160
snacks,159
reflecting,159
music,159
valley,159
attempts,159
bin,159
fully,159
granite,158
mall,158
war,158
illuminated,158
faucet,158
leaping,158
sailboats,157
classic,157
wit,157
caught,157
seven,157
cauliflower,157
kept,157
waving,157
numbers,156
forks,156
works,156
cheesy,156
teenager,156
monument,156
lighted,156
bedspread,156
knives,155
drawing,155
desks,155
sport,155
layer,155
level,155
conversation,155
bald,155
patterned,155
unusual,154
goods,154
trough,154
soap,154
flooded,154
friend,154
heard,153
married,153
peanut,153
reach,153
leads,153
s,152
herding,152
guard,151
tags,151
much,151
pad,151
tropical,150
individuals,150
spoons,150
greenery,150
step,150
had,150
interesting,150
vendor,149
keys,149
pepper,149
dried,149
para,149
freeway,149
strapped,149
owl,148
within,148
doubles,148
terrain,148
helicopter,148
diamond,148
boogie,148
stopping,147
tasting,147
piles,147
button,147
basin,147
second,147
turns,147
quilt,146
roman,146
massive,146
celebrating,146
roaming,146
pin,146
split,145
costumes,145
soldiers,145
pens,145
upright,145
order,145
pattern,145
factory,145
skater,145
deer,145
spraying,144
bit,144
overpass,144
cellular,144
site,144
transportation,144
conference,144
soft,143
canal,143
shades,143
tents,142
drying,142
come,142
stance,142
indicating,142
utility,142
tablecloth,141
gives,141
figurine,141
handing,141
wrapper,141
language,141
buggy,141
english,141
elevated,140
console,140
raft,140
elegant,140
tape,140
depot,139
bagel,139
adjusting,139
boarders,139
grinding,138
curve,138
posts,138
hooked,138
drawer,138
photographer,138
love,138
notebook,137
extended,137
peel,137
winding,137
learning,137
airborne,137
crib,137
wake,137
themed,137
print,136
weird,136
portrait,136
jars,136
backdrop,136
speaking,136
thing,136
cleaned,136
mashed,136
geese,135
circus,135
main,135
will,135
include,135
naked,135
savannah,135
products,135
cartoon,135
babies,134
read,134
signals,134
hangar,134
link,134
teenage,134
parachute,134
frying,133
kissing,133
windowsill,133
overcast,133
wicker,133
rowing,133
toasted,133
fat,132
polka,132
jackets,132
figurines,132
practice,132
fashion,132
festival,132
pug,132
pathway,132
customers,132
hall,132
china,131
seating,131
squatting,131
chained,131
thumbs,131
metro,131
pitchers,131
stroller,130
hauling,130
digital,130
message,130
trio,130
headboard,130
third,129
photographed,129
knee,129
grown,129
childrens,129
such,129
dot,129
mom,129
uncooked,128
dough,128
swim,128
daughter,128
backpacks,128
cathedral,128
british,128
world,128
depicting,128
most,127
package,127
human,127
too,127
storm,127
meats,127
gravy,126
plains,126
worn,126
star,126
ones,126
sails,126
scenic,126
towing,126
knees,126
note,126
sneakers,126
asphalt,125
racks,125
stable,125
commode,125
pears,125
shines,125
stores,125
carousel,125
staircase,125
placing,124
multi-colored,124
closely,124
disk,124
warehouse,124
returning,124
mens,124
conveyor,124
chrome,124
stir,123
am,123
competing,123
places,123
powdered,123
cooks,123
adorned,122
marked,122
tube,122
grab,122
planter,122
chopsticks,122
cruise,122
stalls,122
keyboards,122
stripes,121
shuttle,121
cluster,121
tourist,121
lobby,121
deserted,121
were,121
directly,121
roadside,120
cab,120
electrical,120
muffins,120
enter,120
crates,120
towers,120
african,120
tight,120
stationary,120
hind,120
rocking,120
shrubs,120
printer,120
band,119
when,119
carry,119
coke,119
entering,119
eight,119
cloud,119
lie,119
fur,119
foliage,119
calico,119
bookcase,118
float,118
ostrich,118
boardwalk,118
strawberry,118
stretched,118
soldier,118
barbed,118
puddle,118
stools,118
paintings,118
crate,118
major,118
n,117
theres,117
crouching,117
barrier,117
stepping,117
mixture,117
midair,117
suite,117
tiger,117
names,117
sweet,117
fair,117
cubicle,117
european,116
balances,116
opponent,116
frozen,116
help,116
dual,116
shoulders,116
medium,116
slide,116
intently,116
shapes,116
wildlife,116
rings,116
balloon,116
fed,115
suv,115
podium,115
appear,115
checks,115
fog,115
runner,115
listening,115
silhouette,115
dusty,115
dressing,115
black-and-white,115
unit,115
necks,115
leaned,114
artwork,114
macaroni,114
ferry,114
key,114
maroon,114
raw,114
bicyclist,114
uniformed,114
rectangular,114
texting,114
barrel,113
feeds,113
refrigerators,113
dip,113
cupboard,113
partly,113
limb,113
policeman,113
force,113
infant,113
diner,113
tagged,113
outfits,113
operating,113
rubbing,113
thru,112
grandfather,112
now,112
nest,112
mushroom,112
logo,112
radio,112
starting,112
kettle,112
stomach,112
pocket,112
spotted,112
blurred,112
lodge,111
touch,111
shots,111
spacious,111
elaborate,111
angle,111
class,111
dipping,111
environment,111
apart,111
skillet,111
signage,111
syrup,111
floats,111
nightstand,111
teenagers,111
peering,111
ships,110
needs,110
craft,110
serves,110
stretches,110
extra,110
pies,110
blinds,110
tissue,110
speeding,110
cherry,110
curved,110
4,110
figures,110
sprinkled,109
skinny,109
array,109
fingers,109
cobblestone,109
stacks,109
remodeled,109
pajamas,109
tee,109
flipping,109
goal,109
porcelain,108
bamboo,108
movie,108
try,108
bicyclists,108
artistic,108
cool,107
fry,107
weeds,107
younger,107
sofas,107
pineapple,107
stair,107
alcohol,107
dozen,107
menu,107
hitter,107
ha,107
somewhere,107
tidy,107
start,107
sad,106
mountainous,106
stunts,106
engaged,106
clearing,106
parts,106
bowling,106
gourmet,106
skiier,106
sleep,105
entree,105
identical,105
japanese,105
glowing,105
indian,105
done,105
biker,105
loaf,105
carriages,105
washer,105
newly,105
spots,105
treats,104
volley,104
stump,104
selection,104
wash,104
awaiting,104
viewed,104
blood,104
shrubbery,104
bigger,104
appliance,104
balance,104
jelly,103
cooling,103
suburban,103
ave,103
unfinished,103
any,103
rubber,103
alarm,103
map,103
wheelchair,103
united,103
spatula,103
else,103
barren,103
bulls,103
batters,103
rough,102
caption,102
avenue,102
self,102
plush,102
banner,102
pitched,102
dancing,102
pigeon,102
gaming,102
motel,102
traditional,102
pork,102
celery,101
sushi,101
separated,101
ovens,101
billboard,101
possibly,101
altered,101
chickens,101
coast,101
old-fashioned,101
tying,101
engines,101
iced,101
cast,101
cutter,101
moored,101
sharp,100
attractive,100
bunny,100
chandelier,100
viewing,100
youth,100
notes,100
dolls,100
swung,100
lime,100
ram,100
hiking,100
upward,100
lining,100
towed,99
garlic,99
maker,99
cubs,99
lifting,99
buttons,99
hipster,99
roller,99
equipped,99
claim,99
teaching,99
led,99
silly,99
navy,99
crackers,99
eagle,99
stripped,99
opens,98
care,98
cub,98
ad,98
hoodie,98
local,98
walled,98
pads,98
blocks,98
fuzzy,98
forested,97
happily,97
horned,97
falls,97
yogurt,97
dim,97
letting,97
handles,97
bends,97
breaking,97
locked,97
necktie,97
peas,96
steer,96
hut,96
transport,96
tuxedo,96
warm,96
letters,96
afternoon,96
grouped,96
trim,96
company,96
whipped,96
unloading,95
blocking,95
ottoman,95
playground,95
junk,95
interacting,95
windshield,95
crouched,95
shaggy,95
form,95
jeep,95
furnishings,95
ridding,95
compact,95
harness,95
special,95
windsurfing,95
aged,95
females,94
hanger,94
toiletries,94
money,94
delta,94
poised,94
stripe,94
dozens,94
called,94
mean,94
coats,93
tram,93
adjacent,93
scale,93
guests,93
sausages,93
watched,93
unripe,93
wrap,93
waterfall,93
york,93
aluminum,93
pointed,92
followed,92
excited,92
leave,92
strings,92
firetruck,92
cycles,92
treat,92
outstretched,92
feathers,92
mural,92
parasailing,92
ipod,92
plenty,92
coleslaw,92
theme,92
halves,92
flatbed,91
dinning,91
perches,91
gliding,91
pottery,91
directing,91
dont,91
call,91
roast,91
stained,91
provide,91
dugout,90
free,90
driven,90
folding,90
